YEAR,QUARTER,INFPGDP1YR,INFCPI1YR,INFCPI10YR
1989,1,4.56,4.85,#N/A
1989,2,4.58,4.91,#N/A
1989,3,4.32,4.65,#N/A
1989,4,3.98,4.23,#N/A
1990,1,4.02,4.35,#N/A
1990,2,3.82,4.20,#N/A
1990,3,4.38,4.45,#N/A
1990,4,4.26,4.51,#N/A
1991,1,3.49,3.66,#N/A
1991,2,3.38,3.84,#N/A
1991,3,3.35,3.77,#N/A
1991,4,3.19,3.55,4.00
1992,1,3.25,3.40,3.70
1992,2,3.11,3.52,3.90
1992,3,2.79,3.33,3.75
1992,4,2.71,3.25,3.60
1993,1,2.78,3.21,3.50
1993,2,2.76,3.37,3.70
1993,3,3.05,3.30,3.45
1993,4,2.83,3.03,3.45
1994,1,2.76,3.20,3.45
1994,2,2.89,3.28,3.50
1994,3,3.05,3.33,3.50
1994,4,3.10,3.43,3.50
1995,1,2.89,3.41,3.30
1995,2,2.94,3.53,3.35
1995,3,2.57,3.28,3.20
1995,4,2.35,2.95,3.00
1996,1,2.36,2.78,3.00
1996,2,2.50,2.87,3.00
1996,3,2.51,3.00,3.00
1996,4,2.57,3.03,3.00
1997,1,2.58,3.06,3.00
1997,2,2.42,3.00,2.85
1997,3,2.46,2.85,3.00
1997,4,2.30,2.60,2.65
1998,1,2.23,2.26,2.60
1998,2,2.05,2.45,2.50
1998,3,2.03,2.48,2.50
1998,4,1.85,2.31,2.50
1999,1,1.54,2.17,2.30
1999,2,1.74,2.20,2.50
1999,3,1.87,2.38,2.50
1999,4,1.81,2.53,2.50
2000,1,1.99,2.46,2.50
2000,2,2.22,2.61,2.50
2000,3,2.37,2.71,2.50
2000,4,2.26,2.68,2.50
2001,1,2.12,2.49,2.50
2001,2,2.07,2.51,2.50
2001,3,2.09,2.60,2.50
2001,4,1.74,2.15,2.55
2002,1,1.78,2.20,2.50
2002,2,1.93,2.35,2.50
2002,3,1.89,2.29,2.50
2002,4,1.93,2.19,2.45
2003,1,1.84,2.13,2.50
2003,2,1.77,2.09,2.50
2003,3,1.72,1.82,2.50
2003,4,1.76,2.13,2.50
2004,1,1.57,1.63,2.50
2004,2,1.83,2.13,2.50
2004,3,2.15,2.30,2.50
2004,4,2.00,2.26,2.50
2005,1,1.98,2.25,2.45
2005,2,2.23,2.38,2.50
2005,3,2.25,2.44,2.50
2005,4,2.19,2.39,2.50
2006,1,2.19,2.43,2.50
2006,2,2.26,2.39,2.50
2006,3,2.39,2.63,2.50
2006,4,2.27,2.62,2.50
2007,1,2.13,2.46,2.35
2007,2,2.29,2.43,2.40
2007,3,2.27,2.23,2.40
2007,4,2.24,2.44,2.40
2008,1,2.24,2.38,2.50
2008,2,2.39,2.67,2.50
2008,3,2.23,2.52,2.50
2008,4,1.94,1.76,2.50
2009,1,1.25,1.56,2.40
2009,2,1.47,1.71,2.50
2009,3,1.46,1.80,2.50
2009,4,1.48,1.63,2.26
2010,1,1.53,1.79,2.39
2010,2,1.66,1.88,2.40
2010,3,1.50,1.72,2.30
2010,4,1.52,1.61,2.20
2011,1,1.50,1.72,2.30
2011,2,1.77,2.13,2.40
2011,3,1.89,2.01,2.40
2011,4,1.93,1.97,2.50
2012,1,1.75,2.08,2.30
2012,2,1.94,2.18,2.48
2012,3,1.86,2.11,2.35
2012,4,1.99,2.19,2.30
2013,1,1.93,2.10,2.30
2013,2,1.87,2.04,2.30
2013,3,1.81,1.86,2.21
2013,4,1.81,1.98,2.30
2014,1,1.84,1.89,2.30
2014,2,1.88,1.96,2.25
2014,3,1.97,2.10,2.20
2014,4,1.87,1.92,2.20
2015,1,1.77,1.89,2.10
2015,2,1.81,1.97,2.14
2015,3,1.77,2.04,2.15
2015,4,1.85,2.04,2.15
2016,1,1.81,1.98,2.12
2016,2,1.87,2.06,2.20
2016,3,1.89,2.23,2.15
2016,4,1.94,2.20,2.22
2017,1,2.10,2.36,2.30
2017,2,2.01,2.28,2.30
2017,3,1.94,2.21,2.25
2017,4,2.00,2.09,2.20
2018,1,2.04,2.21,2.25
2018,2,2.10,2.26,2.30
2018,3,2.22,2.26,2.20
2018,4,2.22,2.37,2.21
2019,1,2.10,2.27,2.20
2019,2,2.01,2.09,2.20
2019,3,1.98,2.04,2.20
2019,4,1.94,2.14,2.20
2020,1,1.93,2.16,2.20
2020,2,1.37,1.86,2.14
2020,3,1.52,1.77,2.03
2020,4,1.87,2.07,2.12
2021,1,1.95,2.15,2.20
2021,2,2.31,2.37,2.30
2021,3,2.25,2.39,2.44
2021,4,2.57,2.61,2.55
2022,1,2.81,2.95,2.50
2022,2,3.04,3.60,2.80
2022,3,3.05,3.57,2.80
2022,4,2.96,3.50,2.95
2023,1,2.69,2.96,2.37
